[17:10:35] INFO  com.petr.spring.logger_task.Bean.FileLogger - This is test File logger
[14:31:37] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: I/O failure while processing configuration class [com.petr.spring.profile.config.ApplicationConfiguration]
[14:34:02] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: I/O failure while processing configuration class [com.petr.spring.profile.config.ApplicationConfiguration]
[14:34:44] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: I/O failure while processing configuration class [com.petr.spring.profile.config.ApplicationConfiguration]
[14:35:13] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: I/O failure while processing configuration class [com.petr.spring.profile.config.ApplicationConfiguration]
[15:49:40] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'holder' defined in file [C:\Users\MAR4KESH\IdeaProjects\basic-spring\build\classes\java\main\com\petr\spring\profile\bean\Holder.class]: Unsatisfied dependency expressed through constructor parameter 0: Error creating bean with name 'lazyBean' defined in file [C:\Users\MAR4KESH\IdeaProjects\basic-spring\build\classes\java\main\com\petr\spring\profile\bean\LazyBean.class]: Unsatisfied dependency expressed through constructor parameter 0: Error creating bean with name 'holder': Requested bean is currently in creation: Is there an unresolvable circular reference?
[16:13:08] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: I/O failure while processing configuration class [com.petr.spring.application.config.AppConfig]
[16:13:54] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: I/O failure while processing configuration class [com.petr.spring.application.config.AppConfig]
[16:14:50] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: I/O failure while processing configuration class [com.petr.spring.application.config.AppConfig]
[16:18:10] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanDefinitionStoreException: I/O failure while processing configuration class [com.petr.spring.application.config.AppConfig]
[15:38:30] WARN  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionService' of type [com.petr.spring.task.online_store.service.SessionService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [roleSecurityBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
[15:38:30] WARN  org.springframework.context.annotation.AnnotationConfigApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.UnsatisfiedDependencyException: Error creating bean with name 'consoleMenu' defined in file [C:\Users\MAR4KESH\IdeaProjects\basic-spring\build\classes\java\main\com\petr\spring\task\online_store\cli\ConsoleMenu.class]: Unsatisfied dependency expressed through constructor parameter 2: Bean named 'orderService' is expected to be of type 'com.petr.spring.task.online_store.service.OrderService' but was actually of type 'jdk.proxy2.$Proxy30'
[15:40:03] WARN  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionService' of type [com.petr.spring.task.online_store.service.SessionService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [roleSecurityBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
[15:41:32] WARN  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionService' of type [com.petr.spring.task.online_store.service.SessionService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected/applied to a currently created BeanPostProcessor [roleSecurityBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies/advisors. If this bean does not have to be post-processed, declare it with ROLE_INFRASTRUCTURE.
[16:23:27] WARN  org.springframework.context.support.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sessionService' of type [com.petr.spring.task.online_store.service.SessionService] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying). Is this bean getting eagerly injected into a currently created BeanPostProcessor [roleSecurityBeanPostProcessor]? Check the corresponding BeanPostProcessor declaration and its dependencies.
